Month,Region,Channel,Advertising_Spend,Sales_Units,Price_Per_Unit,Revenue,Discount_Rate,Customer_Satisfaction,Return_Rate
Jan-2025,North,Online,12500,1420,49.99,70985.80,0.05,4.6,0.021
Jan-2025,South,Retail,8200,950,49.99,47490.50,0.02,4.3,0.034
Jan-2025,East,Online,15400,1810,49.99,90481.90,0.08,4.7,0.018
Jan-2025,West,Direct,6300,720,54.99,39592.80,0.00,4.5,0.012
Feb-2025,North,Online,13800,1580,49.99,78984.20,0.05,4.5,0.025
Feb-2025,South,Retail,9100,1020,49.99,50989.80,0.03,4.2,0.031
Feb-2025,East,Online,16900,1950,49.99,97480.50,0.10,4.8,0.015
Feb-2025,West,Direct,7000,790,54.99,43442.10,0.00,4.4,0.014
Mar-2025,North,Online,15200,1720,49.99,85982.80,0.06,4.7,0.019
Mar-2025,South,Retail,10400,1180,49.99,58988.20,0.04,4.4,0.028
Mar-2025,East,Online,18600,2190,49.99,109478.10,0.10,4.8,0.016
Mar-2025,West,Direct,7800,890,54.99,48941.10,0.00,4.6,0.011
Apr-2025,North,Online,14100,1610,49.99,80483.90,0.05,4.6,0.022
Apr-2025,South,Retail,9800,1100,49.99,54989.00,0.03,4.3,0.029
Apr-2025,East,Online,17500,2040,49.99,101979.60,0.08,4.7,0.017
Apr-2025,West,Direct,7200,830,54.99,45641.70,0.00,4.5,0.013
May-2025,North,Online,16500,1880,49.99,93981.20,0.07,4.8,0.018
May-2025,South,Retail,11200,1260,49.99,62987.40,0.04,4.4,0.026
May-2025,East,Online,20100,2380,49.99,118976.20,0.12,4.9,0.014
May-2025,West,Direct,8500,960,54.99,52790.40,0.00,4.7,0.010
Jun-2025,North,Online,17800,2010,49.99,100479.90,0.08,4.7,0.020
Jun-2025,South,Retail,12000,1340,49.99,66986.60,0.05,4.3,0.030
Jun-2025,East,Online,21800,2560,49.99,127974.40,0.12,4.9,0.013
Jun-2025,West,Direct,9100,1040,54.99,57189.60,0.00,4.6,0.012
Jul-2025,North,Online,19000,2150,49.99,107478.50,0.08,4.8,0.017
Jul-2025,South,Retail,12800,1430,49.99,71485.70,0.05,4.4,0.027
Jul-2025,East,Online,23200,2740,49.99,136972.60,0.15,4.9,0.012
Jul-2025,West,Direct,9800,1110,54.99,61038.90,0.00,4.7,0.010
Aug-2025,North,Online,18400,2080,49.99,103979.20,0.07,4.7,0.019
Aug-2025,South,Retail,12300,1380,49.99,68986.20,0.04,4.3,0.028
Aug-2025,East,Online,22500,2650,49.99,132473.50,0.14,4.8,0.014
Aug-2025,West,Direct,9400,1070,54.99,58839.30,0.00,4.6,0.011
Sep-2025,North,Online,17100,1940,49.99,96980.60,0.06,4.6,0.021
Sep-2025,South,Retail,11600,1300,49.99,64987.00,0.04,4.4,0.029
Sep-2025,East,Online,21000,2480,49.99,123975.20,0.10,4.8,0.015
Sep-2025,West,Direct,8800,1000,54.99,54990.00,0.00,4.5,0.013
Oct-2025,North,Online,19500,2220,49.99,110977.80,0.08,4.7,0.018
Oct-2025,South,Retail,13100,1470,49.99,73485.30,0.05,4.3,0.028
Oct-2025,East,Online,24100,2850,49.99,142471.50,0.15,4.9,0.013
Oct-2025,West,Direct,10200,1160,54.99,63788.40,0.00,4.7,0.009
Nov-2025,North,Online,24500,2850,49.99,142471.50,0.15,4.8,0.022
Nov-2025,South,Retail,16800,1920,49.99,95980.80,0.10,4.4,0.032
Nov-2025,East,Online,29800,3580,49.99,178964.20,0.20,4.9,0.016
Nov-2025,West,Direct,12900,1490,54.99,81935.10,0.05,4.7,0.012
Dec-2025,North,Online,28900,3420,49.99,170965.80,0.18,4.9,0.020
Dec-2025,South,Retail,19400,2250,49.99,112477.50,0.12,4.5,0.030
Dec-2025,East,Online,35200,4290,49.99,214457.10,0.25,5.0,0.014
Dec-2025,West,Direct,15400,1790,54.99,98432.10,0.05,4.8,0.010
